Date,Open,High,Low,Close,Adj Close,Volume
1995-05-02,0.878910,0.878910,0.878910,0.878910,-0.000591,0
1995-05-03,0.859380,0.859380,0.820310,0.859380,-0.000577,0
1995-05-04,0.878910,0.898440,0.878910,0.898440,-0.000604,0
1995-05-05,0.937500,0.937500,0.917970,0.937500,-0.000630,0
1995-05-08,0.937500,0.937500,0.927730,0.937500,-0.000630,0
1995-05-09,0.923830,0.927730,0.902340,0.927730,-0.000623,0
1995-05-10,0.898440,0.937500,0.898440,0.927730,-0.000623,0
1995-05-11,null,null,null,null,null,null
1995-05-12,0.917970,0.917970,0.917970,0.917970,-0.000617,0
1995-05-15,0.888670,0.917970,0.888670,0.888670,-0.000597,0
1995-05-16,0.878910,0.913090,0.878910,0.878910,-0.000591,0
1995-05-17,0.917970,0.927730,0.898440,0.917970,-0.000617,0
1995-05-18,0.927730,0.976560,0.927730,0.957030,-0.000643,0
1995-05-19,0.976560,1.035160,0.976560,1.025390,0.000323,0
1995-05-22,1.005860,1.015630,1.005860,1.015630,0.000320,0
1995-05-23,1.025390,1.025390,0.996090,1.025390,0.000323,0
1995-05-24,0.996090,1.009770,0.996090,0.996090,0.000314,0
1995-05-25,0.976560,0.996090,0.976560,0.996090,0.000314,0
1995-05-26,0.986330,1.005860,0.986330,0.996090,0.000314,0
1995-05-29,0.986330,0.996090,0.986330,0.996090,0.000314,0
1995-05-30,0.966800,0.986330,0.966800,0.986330,0.000310,0
1995-05-31,0.992190,0.992190,0.976560,0.976560,0.000307,0
1995-06-01,null,null,null,null,null,null
1995-06-02,null,null,null,null,null,null
1995-06-05,null,null,null,null,null,null
1995-06-06,null,null,null,null,null,null
1995-06-07,null,null,null,null,null,null
1995-06-08,null,null,null,null,null,null
1995-06-09,null,null,null,null,null,null
1995-06-12,null,null,null,null,null,null
1995-06-13,null,null,null,null,null,null
1995-06-14,null,null,null,null,null,null
1995-06-15,null,null,null,null,null,null
1995-06-16,null,null,null,null,null,null
1995-06-19,null,null,null,null,null,null
1995-06-20,null,null,null,null,null,null
1995-06-21,null,null,null,null,null,null
1995-06-22,null,null,null,null,null,null
1995-06-23,null,null,null,null,null,null
1995-06-26,null,null,null,null,null,null
1995-06-27,null,null,null,null,null,null
1995-06-28,null,null,null,null,null,null
1995-06-29,null,null,null,null,null,null
1995-06-30,null,null,null,null,null,null
1995-07-03,null,null,null,null,null,null
1995-07-04,null,null,null,null,null,null
1995-07-05,null,null,null,null,null,null
1995-07-06,null,null,null,null,null,null
1995-07-07,null,null,null,null,null,null
1995-07-10,null,null,null,null,null,null
1995-07-11,null,null,null,null,null,null
1995-07-12,null,null,null,null,null,null
1995-07-13,null,null,null,null,null,null
1995-07-14,null,null,null,null,null,null
1995-07-17,null,null,null,null,null,null
1995-07-18,null,null,null,null,null,null
1995-07-19,null,null,null,null,null,null
1995-07-20,null,null,null,null,null,null
1995-07-21,null,null,null,null,null,null
1995-07-24,null,null,null,null,null,null
1995-07-25,null,null,null,null,null,null
1995-07-26,null,null,null,null,null,null
1995-07-27,null,null,null,null,null,null
1995-07-28,null,null,null,null,null,null
1995-07-31,null,null,null,null,null,null
1995-08-01,null,null,null,null,null,null
1995-08-02,null,null,null,null,null,null
